"house_size";"Settlement";"site_name_ill";"mean_orien";"Quarter";"Culture"
79,49416769;"Cierne";"Čierne";24,84810213;NA;"Linear Pottery"
122,9632864;"Cierne";"Čierne";28,67092322;NA;"Linear Pottery"
215,5396822;"Cierne";"Čierne";29,36206807;NA;"Linear Pottery"
103,8648514;"Cierne";"Čierne";25,88334927;NA;"Linear Pottery"
108,2348744;"Cierne";"Čierne";20,58050638;NA;"Linear Pottery"
128,9230278;"Cierne";"Čierne";25,60036161;NA;"Linear Pottery"
72,8989666;"Cierne";"Čierne";17,24977937;NA;"Linear Pottery"
83,16908062;"Cierne";"Čierne";14,64882886;NA;"Linear Pottery"
111,4725922;"Cierne";"Čierne";28,82654696;NA;"Linear Pottery"
192,0998751;"Cierne";"Čierne";16,65797042;NA;"Linear Pottery"
111,1940547;"Cierne";"Čierne";23,5652539;NA;"Linear Pottery"
253,9333424;"Cierne";"Čierne";30,79662285;NA;"Linear Pottery"
167,6302929;"Cierne";"Čierne";14,70759408;NA;"Linear Pottery"
169,6471356;"Cierne";"Čierne";19,20886842;NA;"Linear Pottery"
127,2232814;"Cierne";"Čierne";25,53900112;NA;"Linear Pottery"
102,1867851;"Cierne";"Čierne";24,1561722;NA;"Linear Pottery"
79,46428347;"Cierne";"Čierne";19,11684854;NA;"Linear Pottery"
161,7585875;"Cierne";"Čierne";19,38146844;NA;"Linear Pottery"
179,3997084;"Cierne";"Čierne";22,83623449;NA;"Linear Pottery"
50,24939985;"Cierne";"Čierne";20,64935736;NA;"Linear Pottery"
151,9899548;"Cierne";"Čierne";26,77480427;NA;"Linear Pottery"
64,1472461;"Cierne";"Čierne";19,25506603;NA;"Linear Pottery"
70,22076422;"Cierne";"Čierne";33,13423279;NA;"Linear Pottery"
83,80567678;"Cierne";"Čierne";34,08249736;NA;"Linear Pottery"
96,54993419;"Cierne";"Čierne";22,13801492;NA;"Linear Pottery"
74,16036846;"Cierne";"Čierne";20,84783073;NA;"Linear Pottery"
56,44893161;"Cierne";"Čierne";30,4080635;NA;"Linear Pottery"
92,04023077;"Cierne";"Čierne";23,65872682;NA;"Linear Pottery"
50,92269748;"Cierne";"Čierne";29,09444626;NA;"Linear Pottery"
168,2536742;"Cierne";"Čierne";18,29944964;NA;"Linear Pottery"
137,9317248;"Cierne";"Čierne";22,56289029;NA;"Linear Pottery"
113,9878388;"Cierne";"Čierne";23,2838611;NA;"Linear Pottery"
106,0897655;"Cierne";"Čierne";16,3196656;NA;"Linear Pottery"
137,9440255;"Cierne";"Čierne";18,47414019;NA;"Linear Pottery"
89,17256043;"Cierne";"Čierne";20,23789656;NA;"Linear Pottery"
151,2131887;"Cierne";"Čierne";31,97246318;NA;"Linear Pottery"
110,9819666;"Cierne";"Čierne";27,00660763;NA;"Linear Pottery"
172,2231542;"Cierne";"Čierne";26,23991954;NA;"Linear Pottery"
221,7345897;"Cierne";"Čierne";29,39788525;NA;"Linear Pottery"
91,50548724;"Cierne";"Čierne";25,00959206;NA;"Linear Pottery"
109,1974687;"Cierne";"Čierne";15,88975362;NA;"Linear Pottery"
74,99651337;"Cierne";"Čierne";25,51528833;NA;"Linear Pottery"
76,60251568;"Cierne";"Čierne";19,28766852;NA;"Linear Pottery"
95,19521437;"Cierne";"Čierne";15,10966866;NA;"Linear Pottery"
131,4727345;"Cierne";"Čierne";33,57773205;NA;"Linear Pottery"
103,9116906;"Cierne";"Čierne";25,34127087;NA;"Linear Pottery"
91,15163097;"Cierne";"Čierne";24,2523659;NA;"Linear Pottery"
99,25193709;"Cierne";"Čierne";21,74729883;NA;"Linear Pottery"
153,2635812;"Cierne";"Čierne";17,64881755;NA;"Linear Pottery"
43,67136296;"Cifare";"Čifare";17,28064484;NA;"Linear Pottery"
117,5602532;"Cifare";"Čifare";22,92016917;NA;"Linear Pottery"
128,3903312;"Cifare";"Čifare";23,20524193;NA;"Linear Pottery"
87,26994662;"Cifare";"Čifare";16,99170748;NA;"Linear Pottery"
87,7490657;"Cifare";"Čifare";13,60107924;NA;"Linear Pottery"
78,62420312;"Cifare";"Čifare";14,43388356;NA;"Linear Pottery"
74,71091315;"Cifare";"Čifare";17,87564613;NA;"Linear Pottery"
85,32012999;"Cifare";"Čifare";26,07410726;NA;"Linear Pottery"
50,76435987;"Cifare";"Čifare";18,80465962;NA;"Linear Pottery"
155,9954968;"Cifare";"Čifare";15,65879993;NA;"Linear Pottery"
116,3487651;"Cifare";"Čifare";18,34467815;NA;"Linear Pottery"
97,50492533;"Cifare";"Čifare";11,17867629;NA;"Linear Pottery"
